,title,overview,release_date,vote_average,popularity
16,Lee Cronin's The Mummy,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",2026-04-15,8.05,699.1013
17,Masters of the Universe,"After being separated for 15 years, the Sword of Power leads Prince Adam back to Eternia, where he discovers his home shattered under the fiendish rule of Skeletor. To save his family and his world, Adam must join forces with his closest allies, Teela and Duncan/Man-At-Arms, and embrace his true destiny as He-Man — the most powerful man in the universe.",2026-06-03,10.0,37.1087
18,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",2025-12-17,7.51,147.8169
19,The Devil Wears Prada 2,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",2026-04-29,6.637,55.5996
20,Guru,"Matt, a charismatic coach, captivates crowds until he spirals into a disturbing downward spiral.",2026-01-28,6.2,3.6877
21,The Drama,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,2026-03-26,6.9,30.0315
22,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",2026-03-04,8.128,138.0178
23,The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",2026-05-12,8.4,377.4584
24,Salmokji: Whispering Water,"An incident unfolds when a film crew goes to a reservoir to update the road view where an unidentified figure was filmed, and they encounter something in the dark, deep waters.",2026-04-08,6.0,9.281
25,On the Hunt,"An ex-special forces operative discovers her daughter has been abducted by a ruthless human trafficking ring. She launches 'hunt mode', an all-out mission to bring her home. Aided by a former military comrade, she navigates the criminal underworld, unearthing a web of corruption extending from the streets of Los Angeles to high-powered officials.",2026-02-27,4.571,8.3175
26,Passenger,"After a young couple witnesses a gruesome highway accident, they soon realize they did not leave the crash scene alone, as a demonic presence called the Passenger that won't stop until it claims them both turns their van life adventure into a nightmare.",2026-05-20,5.9,38.6534
27,Swapped,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",2026-05-01,9.0,302.0875
28,Brothers Under Fire,"Captain Jordan Wright's squadron on leave for a wedding in Mexico encounters a murderous cartel. As Jordan tries to lead survivors to safety, war erupts between his squad and the cartel, forcing him into a battle to save his men.",2026-04-15,6.0,40.6444
29,Nuremberg,"In postwar Germany, an American psychiatrist must determine whether Nazi prisoners are fit to go on trial for war crimes, and finds himself in a complex battle of intellect and ethics with Hermann Göring, Hitler's right-hand man.",2025-11-06,7.5,16.1365
30,Normal,"An unassuming substitute sheriff with a troubled past responds to a bank robbery in a small, sleepy town and unknowingly uncovers something far more explosive.",2026-04-16,6.5,55.3435
31,Colony,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.",2026-05-21,6.5,69.0494
32,The Sheep Detectives,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",2026-04-30,7.626,75.2499
33,Icefall,"A young Indigenous game warden arrests an infamous poacher only to discover that the poacher knows the location of a plane carrying millions of dollars that has crashed in a frozen lake. When a group of criminals and dirty cops are alerted to the poacher’s whereabouts, the warden and the poacher team up to fight back and escape across the treacherous lake before the ice melts.",2025-10-16,6.308,13.954
34,One More Shot,"New Years Eve. 1999. Minnie discovers a bottle of time travelling tequila. Each shot takes her back to the start of the night - giving her a bottle’s worth of shots to win back her old flame Joe, and change the course of her millennium.",2025-12-12,6.0,5.7668
35,Minions & Monsters,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",2026-06-24,0.0,9.1481
36,Spider-Man: Brand New Day,"Four years have passed since the events of No Way Home, and Peter is now an adult living entirely alone, having voluntarily erased himself from the lives and memories of those he loves. Crime-fighting in a New York that no longer knows his name, he's devoted himself entirely to protecting his city — a full-time Spider-Man — but as the demands on him intensify, the pressure sparks a surprising physical evolution that threatens his existence, even as a strange new pattern of crimes gives rise to one of the most powerful threats he has ever faced.",2026-07-29,0.0,26.4263
37,A Foggy Tale,"Yue's brother was executed by the government. Determined to bring his body back home, Yue goes to Taipei alone and finds help in Chao Kung-tao, a discharged soldier. Two people with no relations become friends in need, embarking on a journey that could cost them their lives.",2025-11-27,7.472,8.244
38,Moana,"Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with the infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",2026-07-08,0.0,7.6975
39,Scream 7,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",2026-02-25,6.127,57.0735
40,The Furious,"After Wang Wei's daughter is kidnapped by a criminal network and he receives no help from the corrupt police, Wei sets out to find her himself. His only ally is Navin, a relentless journalist whose wife has mysteriously disappeared. Fueled by a furious vengeance, the unlikely duo ruthlessly battle the kidnappers in this explosive martial arts showdown.",2026-06-10,0.0,31.3581
41,Apex,A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,2026-04-24,6.693,151.2753
42,GOAT,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",2026-02-11,8.108,118.8635
43,Enola Holmes 3,Adventure leads detective Enola Holmes to Malta as personal and professional dreams collide on a case more perilous than any she's faced before.,2026-07-01,0.0,4.8259
44,Remarkably Bright Creatures,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.",2026-05-07,8.533,87.766
45,Tuner,A talented piano tuner's life is turned upside down when he discovers that his meticulous skills for tuning pianos can equally be applied to cracking safes.,2026-05-11,6.5,14.4275
46,Pressure,"In the tense 72 hours before D-Day, and the fate of the free world hanging in the balance, General Dwight D. Eisenhower and Captain James Stagg face an impossible choice—launch the largest and most dangerous seaborne invasion in history or risk losing the war altogether.",2026-05-25,8.0,9.4371
47,Dhurandhar: The Revenge,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",2026-03-18,7.4,297.4257
48,Kylie: Tension Tour Live,"It's time to hit the dancefloor as pop superstar Kylie Minogue shares a vibrant, exclusive behind-the-scenes look at her smash 2025 Tension World Tour.",2026-05-27,0.0,2.3984
49,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",2026-07-15,0.0,27.0663
50,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",2025-12-19,7.4,16.2245
51,Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",2026-01-22,7.047,47.5464
52,Hokum,"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",2026-04-29,6.927,14.3121
53,"Good Luck, Have Fun, Don't Die",A 'Man from the Future' arrives at an LA diner where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.,2026-02-13,6.9,20.4685
54,They Will Kill You,"A woman answers a help wanted ad to be a housekeeper in a mysterious New York City high-rise, unaware that she is entering a community that has seen a number of disappearances over the years and may be under the grip of a Satanic cult.",2026-03-23,6.954,55.4126
55,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",2025-11-26,7.643,84.607
56,In the Grey,"A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.",2026-05-13,6.386,26.6074
57,Dear You,"Grandma Ye Shurou from Chaoshan lived a simple life, enjoying her twilight years. Her grandson, Xiaowei, burdened by debt, secretly traveled to Thailand to find his rumored billionaire grandfather, Zheng Musheng. However, Xiaowei returned with shocking news: his grandfather was long gone, and the person with whom Grandma had exchanged love letters was a complete stranger. As Xiaowei investigated, a love affair hidden for half a century suddenly surfaced, striking Grandma's heart.",2026-04-30,9.1,30.8188
58,Checkered Ninja 3,"In this 3rd installment Alex’s interest for Ninja missions is starting to vanish. He’ll rather spend his time with his friends and Checkered Ninja feels he is overlooked and is eager to engage in a new mission. The result of this is that Alex, by accident, ends up having a conflict with Marco, the bad boy boyfriend of Jessica, entangling him in a conflict he hasn’t asked for and he is pressured by Checkered Ninja to defend himself.",2026-01-01,7.2,6.4847
59,The Crash,"A teen slams her car into a building, killing her boyfriend and his friend. What seems like a tragic accident becomes a murder case.",2026-05-14,6.743,31.6562
60,Untold UK: Vinnie Jones,"This is the story of Vinnie Jones's rise, fall, and comeback against odds – and red cards – from one of football's most notorious hard men to FA cup winner.",2026-05-26,7.3,5.9543
61,Mother Mary,Long-buried wounds rise to the surface when iconic pop star Mother Mary reunites with her estranged best friend and former costume designer Sam Anselm on the eve of her comeback performance.,2026-04-16,5.8,33.5613
62,"""Wuthering Heights""","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",2026-02-11,6.639,33.6916
63,Bitter Christmas,"After her mother dies in December, advertising director Elsa immerses herself in work to cope. When a panic attack forces her to take a break, she decides to travel to Lanzarote with her friend Patricia. The story of these women run parallel to that of a screenwriter and film director, exploring how life and fiction are inseparably linked, sometimes painfully so.",2026-03-20,6.6,9.2101
64,Baise-en-ville,"Sprite, a 20-year-old young adult, returns to Chelles after a breakup. To pay for his driver’s license and please his parents, he joins Allo Nettoyo, a night-time cleaning start-up in the Paris suburbs. Unable to get around without a permit, he adopts the ""baise-en-ville"" technique—taught by his driving instructor—which involves spending the night at girls' places of girls he meets through a dating app. Sprite struggles with this new approach to seduction.",2026-01-28,6.4,1.1765
65,The Legendaries,"They are brave, intrepid, indomitable, and they turned back to children! While fighting the terrible sorcerer Darkhell, the official heros of Alysia: The Legendaries accidentally broke the Jovenia stone, the one of eternal youth. This is how the whole kingdom of Alysia, and especially our champions, has fallen back into childhood. No more birth, but people keep on dying of accident or sickness… Humanity is then doomed to extinction. A real curse! And quite a blow to the myth of ""The Legendaries"". The five warriors, formerly admired, have now to lie low… Today blamed and discredited, they are well decided to break the spell and fix their mistake. ""Nothing is impossible for a willing heart""… Even at 10!",2026-01-28,6.2,0.8375
66,I Love Boosters,A fearless crew of inventive young women turn shoplifting into a radical act of defiance.,2026-05-21,4.375,8.7487
67,Reminders of Him,"When Diem's custodial grandparents adamantly refuse Kenna's attempts to see her daughter, Kenna discovers unexpected compassion, and then something truer and deeper, with former NFL player and local bar owner Ledger. As their secret romance develops, so do the dangers for both of them, leading Kenna toward heartbreak and, ultimately, the hope for a second chance.",2026-03-11,7.566,24.6011
68,Nirvanna the Band the Show the Movie,"When their plan to book a show at the Rivoli goes horribly wrong, Matt and Jay accidentally travel back to the year 2008.",2026-02-02,7.6,5.9695
69,System,"When Neha Rajvansh, a privileged public prosecutor, meets Sarika Rawat, a courtroom stenographer from a humble background, their lives are thrown into upheaval where power defines truth, blurring the system and raising a question of what justice truly means to them.",2026-05-22,7.5,168.03
70,The Bride!,A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensues is beyond what either of them imagined.,2026-03-04,6.2,28.5599
71,The Holy Grill,"At a tennis club in rural Germany, preparations for the summer party are led by Heribert. When a separate grill is suggested for Erol, the club's only Muslim member, tensions flare. What begins as a simple discussion quickly turns into a debate about societal and personal conflicts, threatening to tear the club apart.",2026-01-15,6.661,4.3481
72,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",2025-11-26,7.747,13.9559
73,Mercy,"In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",2026-01-19,7.015,24.5827
74,La Grazia,"As his tenure as President of Italy nears its end, Mariano De Santis faces wrenching decisions-both political and deeply personal. Amid these moral quandaries, he must confront his own conscience and seek guidance from those closest to him, including his confidante and daughter, Dorotea.",2025-12-05,7.377,3.7925
75,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",2026-01-28,7.62,74.9337
76,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",2025-12-18,7.261,70.8791
77,Ready or Not: Here I Come,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",2026-03-19,7.691,83.6791
78,Good Boy,"Tommy, a volatile 19-year-old, revels in drugs, parties and violence. After getting separated from his friends on a drunken bender, he is abducted by a shadowy figure. He wakes to find himself imprisoned in the basement of a remote Yorkshire house, inhabited by a very strange family. But what unfolds is not what he could possibly expect.",2026-03-06,7.346,16.7107
79,Evil Dead Burn,"After the loss of her husband, a woman seeks solace with her in-laws in their secluded family home. As one by one they are transformed into Deadites—turning the gathering into a family reunion from hell—she comes to discover that the vows she took in life... live on even in death.",2026-07-08,0.0,7.0157
80,Emi Martínez: The Kid Who Stops Time,"Emiliano, a dreamy boy from Mar del Plata, became the ‘Dibu’ we all know today, one of the great heroes of Argentine football. Written by Hernán Casciari and directed by Gustavo Cova, it tells the story of this kid who discovers he has the power to stop time and argues with a ball that reminds him of all the challenges he has ahead. With a combination of animated sequences created by Liniers, archival footage, and interviews with his friends, family, and teammates, it is a tender and brave account of how his inner strength led him to achieve glory, becoming an inspiration for new generations.",2026-05-02,0.0,0.3004
81,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",2025-12-19,7.4,16.2245
82,We Bury the Dead,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.",2026-01-01,5.993,15.8781
83,True Justice: Eye For An Eye,"Amateur sleuths tackle a fresh challenge at a local school, diving into the fierce world of parent politics. Their investigation uncovers hidden agendas and unexpected alliances as they navigate the complex web within the community.",2026-05-23,1.0,3.3139
84,Master of the Universe,"A young man must use his untapped powers to fight back against an evil alien and their army, who will stop at nothing to take over Earth and then the universe.",2026-05-22,1.0,5.2472
85,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",2026-01-07,6.41,65.9617
86,I Swear,"Diagnosed with Tourette Syndrome at 15, John Davidson navigates his way against the odds through troubled teenage years and into adulthood, finding inspiration in the kindness of others to discover his true purpose in life.",2025-09-22,8.23,13.571
87,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",2025-07-18,7.725,121.3106
88,Wicked: For Good,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",2025-11-19,6.63,10.8232
89,No Other Choice,"After being laid off and humiliated by a ruthless job market, a veteran paper mill manager descends into violence in a desperate bid to reclaim his dignity.",2025-09-24,7.503,12.8982
90,Power Ballad,"When Rick, a past-his-prime wedding singer, meets fading boy-band star Danny during a gig, the two bond over music and a late-night jam session. But when Danny turns one of Rick’s songs into the hit that reignites his career, Rick sets out to reclaim the recognition he believes he deserves - even if it means risking everything he cares about.",2026-05-18,10.0,5.3831
91,Teenage Sex and Death at Camp Miasma,"After years of slapdash sequels and waning fandom, the Camp Miasma slasher franchise is handed over to an enthusiastic young director for resurrection. But when she visits the original's star, a now-reclusive actress shrouded in mystery, the two women fall into a blood-soaked world of desire, fear, and delirium.",2026-08-06,0.0,4.8754
92,Peddi,"In 1980s rural Andhra Pradesh, a spirited villager unites his community through sports to defend their pride against a powerful rival.",2026-06-03,0.0,17.0177
93,Evil Dead Burn,"After the loss of her husband, a woman seeks solace with her in-laws in their secluded family home. As one by one they are transformed into Deadites—turning the gathering into a family reunion from hell—she comes to discover that the vows she took in life... live on even in death.",2026-07-08,0.0,7.0157
94,Crime 101,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",2026-02-11,6.976,47.8591
95,Drishyam 3,"To protect his family and their dark secret, Georgekutty faces an organized new threat. As walls close in and cracks widen, how much more is he willing to sacrifice ?",2026-05-21,6.5,62.8155
96,Final Broadcast,"During what appears to be the last live television broadcast before a nuclear apocalypse, a host and his crew struggle to keep the show on air as the world outside collapses.",2026-03-01,0.0,1.5064
97,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",2025-12-18,7.261,70.8791
98,Alas Roban,"The lives of Sita and her daughter, Gendis, change after a terrifying night. Their journey through Alas Roban is filled with fear and relentless terror. Can they uncover what's happening there?",2026-01-15,5.0,4.4661
99,Thrash,"When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos, and something far more frightening onto shore: hungry sharks.",2026-04-10,6.024,23.2679
